,longitude,latitude
0,4.268634,52.02006
1,4.268614,52.02007
2,4.268605,52.020078
3,4.268593,52.020085
4,4.268578,52.020085
5,4.268558,52.020089
6,4.268564,52.020098
7,4.268566,52.020096
8,4.268582,52.020084
9,4.268596,52.020072
10,4.268615,52.02006
11,4.268627,52.020051
12,4.268642,52.020044
13,4.268656,52.020035
14,4.268668,52.020028
15,4.268682,52.020021
16,4.268692,52.020014
17,4.268702,52.020008
18,4.268691,52.020006
19,4.268675,52.020015
20,4.268659,52.020019
21,4.268645,52.020022
22,4.26863,52.020025
23,4.268618,52.020031
24,4.2686,52.020038
25,4.268589,52.020045
26,4.26857,52.020051
27,4.268558,52.020057
28,4.268541,52.020063
29,4.268529,52.020069
30,4.268526,52.020078
31,4.268517,52.020088
32,4.268528,52.020098
33,4.26854,52.020103
34,4.268543,52.020103
35,4.268554,52.020089
36,4.268574,52.020076
37,4.26859,52.020064
38,4.268614,52.020051
39,4.268632,52.02004
40,4.268646,52.02003
41,4.268657,52.020019
42,4.268669,52.020012
43,4.268685,52.020003
44,4.268683,52.019998
45,4.268676,52.019999
46,4.26867,52.02
47,4.26866,52.020003
48,4.268648,52.020008
49,4.268623,52.020014
50,4.268611,52.020019
51,4.268587,52.020026
52,4.268571,52.020031
53,4.268552,52.020037
54,4.268528,52.020044
55,4.268522,52.020053
56,4.268511,52.020054
57,4.268505,52.020055
58,4.268507,52.020059
59,4.268517,52.020064
60,4.268535,52.020073
61,4.268543,52.020078
62,4.268565,52.020068
63,4.268582,52.020055
64,4.268601,52.020046
65,4.268624,52.020037
66,4.268637,52.020029
67,4.268653,52.02002
68,4.268662,52.020012
69,4.268673,52.020004
70,4.268687,52.019998
71,4.268689,52.019995
72,4.268681,52.019998
73,4.268666,52.020001
74,4.268653,52.020006
75,4.268635,52.020011
76,4.268616,52.020018
77,4.2686,52.020027
78,4.268587,52.020032
79,4.268567,52.020038
80,4.26856,52.020044
81,4.268544,52.02005
82,4.26852,52.020058
83,4.268504,52.020061
84,4.268483,52.020065
85,4.268492,52.020066
86,4.268505,52.020061
87,4.268531,52.020052
88,4.268558,52.020047
89,4.268575,52.020041
90,4.268594,52.020033
91,4.268609,52.020029
92,4.268629,52.020024
93,4.268645,52.020021
94,4.268656,52.020014
95,4.268669,52.020013
96,4.268685,52.020012
97,4.268685,52.020013
98,4.268676,52.020018
99,4.268663,52.020023
100,4.268651,52.020028
101,4.26864,52.02003
102,4.26862,52.020033
103,4.268599,52.020038
104,4.268579,52.020043
105,4.26856,52.020047
106,4.268543,52.020053
107,4.268526,52.02006
108,4.268513,52.020066
109,4.268493,52.02007
110,4.268484,52.020076
111,4.268502,52.020082
112,4.268518,52.020083
113,4.268546,52.020081
114,4.268567,52.020075
115,4.268593,52.020064
116,4.268613,52.020055
117,4.268633,52.020045
118,4.268647,52.020037
119,4.268665,52.02003
120,4.268678,52.020019
121,4.26869,52.020011
122,4.268699,52.020006
123,4.268695,52.020009
124,4.268684,52.020012
125,4.268664,52.020017
126,4.268648,52.020025
127,4.268628,52.020033
128,4.268606,52.02004
129,4.268585,52.020048
130,4.268565,52.020054
131,4.268551,52.020061
132,4.268546,52.020076
133,4.268518,52.020079
134,4.268511,52.020083
135,4.268526,52.020089
136,4.268538,52.02009
137,4.268556,52.020092
138,4.26858,52.020081
139,4.268601,52.020071
140,4.26862,52.020063
141,4.268639,52.020056
142,4.268656,52.020047
143,4.26867,52.02004
144,4.26868,52.020031
145,4.268692,52.020022
146,4.2687,52.020015
147,4.268699,52.020013
148,4.268694,52.020017
149,4.268684,52.020021
150,4.26867,52.020026
151,4.26865,52.020033
152,4.268625,52.02004
153,4.268605,52.020047
154,4.268585,52.020052
155,4.268546,52.020068
156,4.268532,52.020081
157,4.268529,52.020097
158,4.268533,52.0201
159,4.268543,52.020087
160,4.268561,52.020074
161,4.268586,52.020063
162,4.268603,52.020057
163,4.268621,52.020049
164,4.268641,52.020038
165,4.268665,52.020026
166,4.268682,52.020017
167,4.268699,52.02001
168,4.268708,52.020007
169,4.268707,52.020009
170,4.268699,52.02002
171,4.268681,52.020032
172,4.268661,52.02004
173,4.268639,52.020048
174,4.268626,52.02006
175,4.268611,52.02007
176,4.268592,52.020072
177,4.268574,52.02008
178,4.268558,52.020082
179,4.268541,52.020087
180,4.268525,52.020091
181,4.268525,52.020093
182,4.268536,52.020092
183,4.268546,52.020094
184,4.268563,52.020081
185,4.268576,52.020078
186,4.268595,52.020073
187,4.268622,52.020058
188,4.26864,52.020049
189,4.268651,52.020041
190,4.268665,52.020031
191,4.268676,52.020024
192,4.268682,52.02002
193,4.268686,52.020021
194,4.268678,52.020027
195,4.268673,52.020029
196,4.268655,52.020036
197,4.268636,52.020042
198,4.268618,52.02005
199,4.268593,52.020054
200,4.268568,52.02006
201,4.268544,52.020065
202,4.268527,52.020069
203,4.268512,52.020075
204,4.268501,52.020081
205,4.268513,52.020085
206,4.268532,52.020083
207,4.268581,52.020072
208,4.268589,52.02007
209,4.2686,52.020067
210,4.268612,52.020064
211,4.268625,52.020061
212,4.268635,52.020055
213,4.268666,52.02004
214,4.268675,52.020033
215,4.268668,52.020028
216,4.268662,52.020027
217,4.26864,52.02003
218,4.26862,52.020035
219,4.268603,52.020041
220,4.268582,52.020047
221,4.26855,52.020051
